# This file contains links between UNL UWs and Hindi Wordnet
# UW	Relation	POS	Words(weight)	SynsetID
#
acardia(icl>abnormality>thing)	Direct	n	2(4),1(4)	31582
accelerator(icl>activator>thing,equ>catalyst,ant>anticatalyst)	Direct	n	1(2)	14665
accelerometer(icl>measuring_instrument>thing)	Direct	n	1(2)	31684
accent(icl>non-standard_speech>thing,equ>dialect)	Hypernymy	n	1(2),2(2),3(2)	39356
accent(icl>non-standard_speech>thing,equ>dialect)	Hypernymy	n	1(2)	6107
accent(icl>non-standard_speech>thing,equ>dialect)	Direct	n	1(4)	6948
accept(icl>get>do,equ>take,agt>volitional_thing,obj>thing,cag>thing)	Direct	v	1(2)	2015
accept(icl>get>do,equ>take,agt>volitional_thing,obj>thing,cag>thing)	Direct	v	2(4),3(4),1(4)	3666
accept(icl>get>do,equ>take,agt>volitional_thing,obj>thing,cag>thing)	Hypernymy	v	1(2),3(2),2(2)	39260
acceptable(icl>adj,ant>unacceptable)	Direct	a	1(2)	29236
acceptance(icl>blessing>thing,equ>adoption)	Direct	n	1(5)	10306
acceptance(icl>blessing>thing,equ>adoption)	Direct	n	1(8)	106
acceptation(icl>blessing>thing,equ>adoption)	Direct	n	2(2)	10306
acceptation(icl>blessing>thing,equ>adoption)	Direct	n	1(6)	106
access(icl>approach>thing)	Hypernymy	n	2(3)	39157
accessibility(icl>convenience>thing,equ>handiness,ant>inaccessibility)	Direct	n	1(4)	904
accessible(icl>adj)	Direct	a	1(4)	2721
accessible(icl>adj,ant>inaccessible)	Direct	a	2(4)	10244
accident(icl>happening>thing)	Direct	n	1(4)	2860
acclamation(icl>approval>thing,equ>acclaim)	Direct	n	1(2)	110
acclamation(icl>approval>thing,equ>acclaim)	Direct	n	1(4)	6288
acclivity(icl>slope>thing,equ>ascent,ant>descent)	Direct	n	1(2),2(2)	27081
accolade(icl>symbol>thing,equ>award)	Hypernymy	n	1(2)	30502
accolade(icl>symbol>thing,equ>award)	Hypernymy	n	1(2)	34880
accolade(icl>symbol>thing,equ>award)	Direct	n	2(4),3(4)	822
accommodation(icl>improvement>thing,equ>adjustment)	Direct	n	8(2)	9277
accompaniment(icl>part>thing)	Direct	n	1(4)	13159
accomplished(icl>adj)	Direct	a	5(4),14(4)	1775
accomplishment(icl>ability>thing,equ>skill)	Direct	n	7(4),1(4),2(4)	3388
accomplishment(icl>abstract_thing,equ>carrying_out,agt>person,obj>thing)	Direct	n	1(4)	4464
accord(icl>harmony>thing,equ>agreement,ant>disagreement)	Direct	n	6(4),1(6)	551
accordingly(icl>how)	Direct	adv	1(7)	34198
accordingly(icl>how,equ>consequently,com>consequent)	Direct	adv	1(4)	10835
accordion(icl>free-reed_instrument>thing)	Direct	n	2(2)	34351
accost(icl>offer>do,equ>hook,agt>thing)	Direct	v	1(2)	36863
account(icl>agreement(icl>abstract_thing))	Hypernymy	n	2(2),3(2),1(2)	35802
account(icl>inform>do,equ>report,agt>thing)	Direct	v	3(2)	11855
accountant(icl>businessperson>thing)	Direct	n	1(2),3(2)	9998
accounting(icl>statement>thing,equ>account)	Direct	n	8(4),6(4),6(4)	11815
accra(iof>national_capital>thing)	Direct	n	(4)	24139
