# This file contains links between UNL UWs and Hindi Wordnet
# UW	Relation	POS	Words(weight)	SynsetID
#
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	29786
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	29800
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	29801
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	29803
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	29816
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	29826
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	29829
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	29836
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	29844
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	29855
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	29942
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	29971
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	30007
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	30013
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	30030
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	30048
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	30073
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	30084
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	30091
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	30108
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	30114
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	30118
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	30143
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	30184
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2),2(2)	30299
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2),2(2)	30314
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	30317
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	30330
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	30476
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2),2(2)	30510
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2),2(2)	30797
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	30891
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	30904
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	30928
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	31019
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	31124
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2),2(2)	31135
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	31155
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	31215
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	2(2),1(2)	31231
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	31248
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	31250
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2),2(2)	31292
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	31343
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	31348
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	31370
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	31375
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	31409
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2),2(2)	31431
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	31486
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	31498
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	31622
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	31656
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	31895
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	31957
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	32070
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	32072
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	32118
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	32372
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	32392
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	32579
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	32612
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	33045
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	33189
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	33192
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	33196
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	33585
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	33587
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	33983
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	3(2),1(2),2(2)	3412
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2),2(2)	34291
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	2(2),3(2),1(2)	3441
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2),2(2)	36297
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	2(2),3(2),1(2)	4072
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	2(2),1(2),3(2)	4539
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	2(2),1(2)	6842
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	2(2),3(2),1(2)	6935
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2),2(2)	7013
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	7548
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	2(2),1(2),3(2)	7561
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	2(2),1(2)	7913
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2),2(2)	7914
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	2(2),1(2)	8049
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	2(2),1(2)	8065
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2)	8068
fiend(icl>evil_spirit>thing,equ>devil)	Hypernymy	n	1(2),2(2),3(2)	8238
fiend(icl>unpleasant_person>thing,equ>monster)	Direct	n	2(2)	6697
fierce(icl>adj,equ>ferocious)	Direct	a	1(2)	35607
fifteenth(icl>adj)	Direct	a	1(2)	13728
fifteenth(icl>rank>thing)	Direct	n	5(4)	38499
fifth(icl>adj)	Direct	a	2(4)	13709
fifth(icl>rank>thing)	Direct	n	3(2)	38492
fiftieth(icl>adj)	Direct	a	1(2)	13814
fig(icl>edible_fruit>thing)	Direct	n	1(2)	2036
fig(icl>fig_tree>thing)	Direct	n	(2)	154
fig_tree(icl>tree>thing)	Hypernymy	n	3(2),1(2),2(2)	13932
fig_tree(icl>tree>thing)	Hypernymy	n	1(2)	17021
fig_tree(icl>tree>thing)	Hypernymy	n	1(2),3(2),2(2)	33027
fight(icl>promote>do,equ>push,agt>volitional_thing,obj>thing)	Direct	v	1(2)	34611
fight(icl>try>do,agt>thing)	Direct	v	1(2)	24097
figure(icl>amount>thing,equ>number)	Direct	n	1(4)	26949
figure(icl>amount>thing,equ>number)	Direct	n	4(4),5(4)	39027
figure(icl>do,equ>compute,agt>thing,obj>uw)	Direct	v	2(2)	34701
figure(icl>integer>thing,equ>digit)	Direct	n	1(4)	10697
figure(icl>rhetorical_device>thing,equ>trope)	Hypernymy	n	1(2)	39394
figure_out(icl>understand>do,equ>solve,agt>thing,obj>thing)	Direct	v	1(2)	27600
fiji(iof>country>thing)	Direct	n	3(2)	20772
fiji_dollar(icl>dollar>thing)	Direct	n	1(2)	20767
filament(icl>fiber>thing,equ>fibril)	Direct	n	3(2)	12881
file(icl>hand_tool>thing)	Direct	n	2(2)	7832
file(icl>record>thing)	Direct	n	2(2)	34591
filigree(icl>embellishment>thing)	Direct	n	3(4)	11191
filing(icl>formation>thing)	Direct	n	2(2)	15857
filipino(icl>adj,com>philippines)	Direct	a	1(2)	19144
filipino(icl>person)	Direct	n	1(2)	19142
filipino(icl>western_malayo-polynesian>abstract_thing,iof>language,equ>philippine)	Direct	n	3(2)	19141
fill(icl>be,equ>occupy,obj>thing,aoj>thing)	Direct	v	2(2)	28123
fill(icl>cause>do,equ>make_full,cob>thing,agt>thing,obj>thing)	Direct	v	1(2)	14231
fill(icl>cause>do,equ>make_full,cob>thing,agt>thing,obj>thing)	Hypernymy	v	1(4)	36434
fill(icl>cause>do,equ>make_full,cob>thing,agt>thing,obj>thing)	Direct	v	1(4)	7389
fill(icl>hire>do,agt>thing,obj>thing)	Direct	v	1(2)	36433
fill(icl>material>thing,equ>filling)	Direct	n	2(2),2(2)	38039
fill(icl>turn>occur,equ>become_full,cob>thing,obj>thing)	Direct	v	1(4)	14059
fill(icl>work>do,agt>person,obj>thing)	Direct	v	1(2)	27725
fill_up(icl>change>do,equ>fill,cob>thing,agt>volitional_thing,obj>thing)	Direct	v	5(5)	14230
fill_up(icl>change>do,equ>fill,cob>thing,agt>volitional_thing,obj>thing)	Hypernymy	v	1(6)	36434
fill_up(icl>change>do,equ>fill,cob>thing,agt>volitional_thing,obj>thing)	Direct	v	1(6)	7389
fill_up(icl>change_state>occur,equ>fill,obj>thing)	Direct	v	1(6)	14059
filling(icl>change_of_integrity>thing)	Direct	n	4(2)	9639
filling(icl>concoction>thing)	Direct	n	2(2)	7554
filling_station(icl>service_station>thing,equ>gasoline_station)	Direct	n	2(2),1(2)	20154
filly(icl>foal>thing)	Direct	n	1(2)	20864
film(icl>make_a_film>do,agt>thing,obj>thing)	Direct	v	1(2)	25419
film(icl>photographic_paper>thing)	Direct	n	2(5)	18514
film(icl>photographic_paper>thing)	Hypernymy	n	2(5)	37890
film(icl>show>thing,equ>movie)	Direct	n	3(5),1(4)	8753
film_company(icl>company>thing)	Hypernymy	n	2(2),1(2),3(2)	35738
filmmaker(icl>producer>thing,equ>film_maker)	Direct	n	3(2),3(2)	34344
filter(icl>device>thing)	Direct	n	1(4)	12782
filter(icl>device>thing)	Direct	n	1(4),3(4)	12787
filter(icl>filtrate>do,agt>thing,obj>thing,ins>thing)	Direct	v	2(2)	5309
filter_out(icl>separate>do,equ>filter,cob>thing,agt>thing,obj>thing)	Direct	v	2(2)	5309
filtrate(icl>separate>do,equ>filter,agt>thing,obj>concrete_thing,ins>thing)	Direct	v	2(2)	5309
fin(icl>extremity>thing)	Direct	n	1(2)	6582
final(icl>examination>thing,equ>final_examination)	Hypernymy	n	1(2),2(2)	39406
final(icl>match>thing)	Direct	n	2(2)	26710
finally(icl>how)	Direct	adv	1(4),3(4)	2093
finance(icl>commercial_enterprise>thing)	Direct	n	5(4),(4),(4)	10408
finance_minister(icl>minister>thing)	Direct	n	3(2)	30983
financial(icl>adj,equ>fiscal,ant>nonfinancial,com>finance)	Direct	a	1(4),3(4)	3542
financial_year(icl>year>thing,equ>fiscal_year)	Direct	n	3(2)	34769
financing(icl>finance>thing)	Direct	n	1(4)	28633
find(icl>acquire>do,equ>gain,agt>person,obj>uw,plc>place)	Direct	v	1(2)	28222
find(icl>deed>thing,equ>discovery)	Direct	n	1(4)	139
find(icl>do,equ>determine,agt>person,obj>abstract_thing)	Hypernymy	v	1(2)	35420
fine(icl>adj)	Direct	a	1(4),4(4),2(4)	25414
fine(icl>adj,equ>all_right)	Direct	a	2(2)	22197
fine(icl>how,equ>finely)	Direct	adv	2(2)	11074
fine(icl>penalty>thing)	Direct	n	1(5),4(4)	3500
fine-grained(icl>adj,equ>powdered)	Direct	a	3(2)	29129
fine_art(icl>creation>thing,equ>art)	Direct	n	2(2)	37532
finely(icl>how)	Direct	adv	2(2)	11074
fineness(icl>elegance>thing,equ>daintiness)	Direct	n	2(4),1(6)	11207
finger(icl>linear_unit>thing)	Direct	n	3(4)	21841
finger(icl>linear_unit>thing)	Direct	n	1(4)	8461
finger_millet(icl>millet>thing)	Direct	n	1(2)	12249
finish(icl>occur,equ>end,obj>thing,gol>uw)	Direct	v	2(2)	11833
finish_off(icl>complete>do,equ>get_through,agt>volitional_thing,obj>thing,met>thing)	Direct	v	1(2)	35442
finish_up(icl>complete>do,equ>get_through,agt>thing,obj>thing)	Direct	v	1(2)	35442
finland(iof>european_country>thing)	Direct	n	3(4)	19221
finn(icl>european>person)	Direct	n	3(2)	19533
finnish(icl>adj,com>finland)	Direct	a	3(2)	19535
finnish(icl>baltic-finnic>abstract_thing,iof>language)	Direct	n	3(2)	19534
fire(icl>attack>thing)	Hypernymy	n	1(2)	30741
fire(icl>cause>do,equ>burn,agt>thing,obj>thing,ins>concrete_thing)	Direct	v	1(4)	11431
fire(icl>combustion>thing)	Direct	n	2(4),1(5)	2023
fire(icl>combustion>thing)	Hypernymy	n	2(2),1(2)	33398
fire(icl>combustion>thing)	Hypernymy	n	1(2)	33710
fire(icl>dismiss>do,equ>sack,plf>organization,rsn>uw,agt>thing,obj>person)	Direct	v	1(2)	11847
fire(icl>do,equ>discharge,cob>thing,agt>person,obj>functional_thing)	Direct	v	2(2)	12363
fire(icl>happening>thing)	Direct	n	1(2)	31553
fire(icl>happening>thing)	Hypernymy	n	1(2)	39145
fire(icl>occur,equ>discharge,obj>functional_thing)	Direct	v	2(2)	11832
fire_brigade(icl>organization>thing)	Direct	n	4(2)	24202
fire_company(icl>organization>thing,equ>fire_brigade)	Direct	n	4(2)	24202
fire_engine(icl>truck>thing)	Direct	n	(4)	33621
fire_truck(icl>truck>thing,equ>fire_engine)	Direct	n	(4)	33621
firebase(icl>base>thing)	Direct	n	1(2)	36648
firebrand(icl>firewood>thing,equ>brand)	Direct	n	1(2)	11559
firecracker(icl>firework>thing)	Hypernymy	n	2(2)	32057
firecracker(icl>firework>thing)	Hypernymy	n	1(2)	32970
firecracker(icl>firework>thing)	Hypernymy	n	1(2),2(2),3(2)	36182
fired(icl>adj,equ>discharged)	Direct	a	7(2)	39147
firefly(icl>beetle>thing)	Direct	n	3(2)	4613
fireman(icl>defender>thing)	Direct	n	3(2),2(2),1(2)	24199
fireman(icl>laborer>thing,equ>stoker)	Direct	n	1(2)	20917
fireproof(icl>adj)	Direct	a	2(4)	7319
firestone(icl>flint>thing)	Direct	n	2(4)	8725
firewall(icl>security_system>thing)	Direct	n	2(2)	34949
firing(icl>attack>thing,equ>fire)	Hypernymy	n	1(2)	30741
firing(icl>burning>thing,equ>ignition)	Direct	n	2(2)	3523
firing(icl>termination>thing,equ>dismissal)	Direct	n	1(2)	9816
firm(icl>how)	Direct	adv	2(2),2(2)	2445
firmness(icl>trait>thing,equ>resoluteness,ant>irresoluteness)	Direct	n	1(4)	6890
first(icl>adj)	Direct	a	2(2)	2000
first(icl>adj)	Direct	a	1(2)	35765
first(icl>how)	Direct	adv	1(2)	855
first(icl>ordinal_number>thing)	Direct	n	2(2)	38496
first-class(icl>adj,equ>excellent)	Direct	a	1(2)	7438
first_aid(icl>care>thing)	Direct	n	2(4)	35865
first_language(icl>natural_language>thing,equ>mother_tongue)	Direct	n	2(2)	26514
first_person(icl>person>thing)	Direct	n	2(2)	8515
firstborn(icl>adj)	Direct	a	2(2)	9408
firstborn(icl>offspring>thing)	Direct	n	2(2)	9410
fiscal_year(icl>year>thing)	Direct	n	3(2)	34769
fish(icl>aquatic_vertebrate>thing)	Hypernymy	n	1(2)	14796
fish(icl>aquatic_vertebrate>thing)	Hypernymy	n	2(2),1(2)	4278
fish(icl>aquatic_vertebrate>thing)	Direct	n	1(5),3(4),4(4)	4448
fish(icl>aquatic_vertebrate>thing)	Hypernymy	n	3(2),2(2),1(2)	9944
fish(iof>sign_of_the_zodiac>thing,equ>pisces)	Direct	n	2(4)	352
fish_scale(icl>scale>thing)	Direct	n	3(2)	13480
fishbone(icl>bone>thing)	Direct	n	1(2)	4321
fisher(icl>skilled_worker>thing,equ>fisherman)	Direct	n	3(4)	9709
fisherman(icl>skilled_worker>thing)	Direct	n	3(5)	9709
fishing(icl>commercial_enterprise>thing)	Direct	n	2(2)	14154
fishing_eagle(icl>sea_eagle>thing)	Direct	n	1(2)	20125
fishing_line(icl>cord>thing)	Direct	n	1(2)	15042
fishing_rod(icl>rod>thing)	Direct	n	1(2),1(2)	371
fissure(icl>opening>thing,equ>crack)	Direct	n	1(5)	3109
fist(icl>hand>thing)	Direct	n	1(2)	7707
fistful(icl>containerful>thing,equ>handful)	Direct	n	3(2)	7708
fit(icl>adj,ant>unfit)	Direct	a	3(2)	194
fit(icl>bad_temper>thing)	Direct	n	2(2)	33283
fit(icl>conform>be,equ>suit,obj>thing,aoj>thing)	Direct	v	1(2)	38454
fit_out(icl>change_state>do,equ>dress,agt>thing,obj>thing)	Hypernymy	v	1(2)	38329
fitness(icl>suitability>thing,ant>unfitness)	Direct	n	2(5)	1709
fitting(icl>improvement>thing,equ>adjustment)	Direct	n	8(2)	9277
five(icl>quantity)	Direct	n	3(2)	13710
five-spot(icl>spot>thing)	Direct	n	1(2)	9328
fix(icl>cook>do,equ>prepare,agt>person,obj>food(icl>thing),ben>person)	Direct	v	1(2)	11318
fix(icl>cook>do,equ>prepare,agt>person,obj>food(icl>thing),ben>person)	Direct	v	1(4)	6595
fix(icl>cook>do,equ>prepare,agt>person,obj>food(icl>thing),ben>person)	Direct	v	2(4),3(4)	6596
fix(icl>determination>thing,equ>localization)	Direct	n	3(2)	28347
fix(icl>do,equ>gear_up,agt>person,obj>uw)	Direct	v	1(2)	13494
fix(icl>establish>do,agt>thing,obj>thing)	Direct	v	1(2)	12681
fix(icl>improve>do,equ>repair,agt>person,obj>functional_thing,ins>thing)	Direct	v	2(4),3(4),1(4)	7138
fix(icl>improvement>thing,equ>repair)	Direct	n	3(2),3(2)	12903
fix(icl>set>do,equ>fasten,agt>person,obj>thing,plc>thing,ins>thing)	Direct	v	1(2)	15065
fixed(icl>adj,ant>unfixed)	Direct	a	2(2)	29150
fixture(icl>improvement>thing,equ>repair)	Direct	n	3(2)	12903
fjord(icl>inlet>thing)	Direct	n	2(2),2(2)	1343
flag(icl>emblem>thing)	Hypernymy	n	1(2),2(2),3(2),3(2)	1083
flag(icl>emblem>thing)	Hypernymy	n	2(2),3(2),1(2)	39385
flag(icl>emblem>thing)	Hypernymy	n	2(2),3(2),1(2)	39386
flag(icl>emblem>thing)	Direct	n	1(4),5(4),4(5)	521
flag(icl>sink>occur,equ>sag,obj>thing)	Direct	v	1(2)	11568
flag(icl>sink>occur,equ>sag,obj>thing)	Direct	v	1(2)	3296
flag(icl>visual_signal>thing)	Direct	n	1(2)	12713
flag_of_truce(icl>flag>thing,equ>white_flag)	Direct	n	2(2)	1080
flagitious(icl>adj,equ>atrocious)	Direct	a	3(4)	11363
flagpole(icl>staff>thing)	Direct	n	2(2),1(2)	6074
flagstaff(icl>staff>thing,equ>flagpole)	Direct	n	2(2),1(2)	6074
flair(icl>elegance>thing,equ>dash)	Direct	n	2(2)	27855
flake(icl>crystal>thing,equ>snowflake)	Direct	n	2(2)	12295
flake(icl>form>do,agt>thing,obj>concrete_thing)	Direct	v	1(2)	39418
flake(icl>fragment>thing,equ>bit)	Hypernymy	n	1(2),4(2),3(2),2(2)	39415
flake(icl>fragment>thing,equ>bit)	Hypernymy	n	1(2)	39416
flaky(icl>adj,equ>bizarre)	Direct	a	3(2),3(2)	5528
flamboyant(icl>angiospermous_tree>thing,equ>royal_poinciana)	Direct	n	1(2)	26554
flame(icl>combustion>thing,equ>fire)	Direct	n	5(3),5(3)	2023
flame(icl>combustion>thing,equ>fire)	Hypernymy	n	2(2),2(2),1(2),1(2)	33398
flame(icl>combustion>thing,equ>fire)	Hypernymy	n	1(2),1(2)	33710
flame_tree(icl>acacia>thing,equ>huisache)	Direct	n	1(2)	16682
flame_tree(icl>angiospermous_tree>thing,equ>royal_poinciana)	Direct	n	1(2)	26554
flamingo(icl>wading_bird>thing)	Direct	n	1(2)	27768
flammable(icl>adj)	Direct	a	1(6)	12351
flank(icl>body_part>thing)	Direct	n	3(2)	25614
flank(icl>formation>thing)	Direct	n	2(2)	34023
flannel(icl>fabric>thing)	Direct	n	2(4)	19019
flap(icl>move>occur,equ>beat,obj>thing)	Direct	v	1(2)	7033
flap(icl>move>occur,equ>roll,obj>concrete_thing)	Direct	v	1(4)	11623
flap(icl>wave>thing)	Direct	n	1(2)	28508
flapjack(icl>cake>thing,equ>pancake)	Direct	n	3(2),3(2)	12875
flare(icl>intensify>occur,equ>erupt,obj>thing)	Direct	v	1(2)	12524
flash(icl>brightness>thing)	Hypernymy	n	3(2),2(2)	36424
flash(icl>moment>thing,equ>blink_of_an_eye)	Direct	n	1(4)	6099
flashy(icl>adj,equ>brassy)	Direct	a	1(2),1(2)	5147
flat(icl>how,equ>directly,ant>indirectly,com>direct)	Direct	adv	1(2)	12314
flat(icl>plain>thing)	Direct	n	6(4),4(4)	7733
flatbread(icl>bread>thing)	Hypernymy	n	2(2),1(2),3(2)	9395
flatterer(icl>follower>thing)	Hypernymy	n	1(2),3(2)	39204
flatulent(icl>adj)	Direct	a	1(2)	3995
flavour(icl>atmosphere>thing,equ>spirit)	Direct	n	1(2),1(2)	27502
flavour(icl>do,equ>season,cob>thing,agt>thing,obj>concrete_thing)	Direct	v	2(2),2(2)	27562
flavour(icl>taste>thing,equ>relish)	Direct	n	1(3),1(3)	7802
flavourless(icl>adj,equ>bland)	Direct	a	1(4),1(4)	12882
flavourless(icl>adj,equ>bland)	Direct	a	3(4),3(4),2(6),2(6)	1490
flavourless(icl>adj,equ>bland)	Direct	a	1(4),1(4)	3716
flaw(icl>imperfection>thing,equ>defect)	Direct	n	4(4)	13147
flax(icl>herb>thing)	Direct	n	3(2)	786
flea(icl>insect>thing)	Direct	n	1(5)	7551
fleck(icl>fragment>thing,equ>bit)	Hypernymy	n	1(2),4(2),3(2),2(2)	39415
fleck(icl>fragment>thing,equ>bit)	Hypernymy	n	1(2)	39416
fleece(icl>cheat>do,equ>overcharge,agt>thing,obj>thing)	Direct	v	2(2)	11743
fleer(icl>person>thing,equ>fugitive)	Direct	n	3(2)	12035
fleet(icl>steamship_company>thing)	Direct	n	1(2)	7328
fleetly(icl>how,equ>swiftly,com>fleet)	Direct	adv	3(4)	11941
flesh(icl>animal_tissue>thing)	Direct	n	3(4),1(5)	1679
flesh(icl>plant_tissue>thing,equ>pulp)	Direct	n	1(4)	7185
fleshy(icl>adj)	Direct	a	4(2)	2603
flex(icl>change_shape>occur,obj>thing)	Direct	v	1(2)	7740
flexure(icl>angular_shape>thing,equ>fold)	Direct	n	2(2)	5029
flick(icl>shine>occur,equ>flicker,obj>thing)	Direct	v	1(4)	8911
flick(icl>show>thing,equ>movie)	Direct	n	3(4)	8753
flick(icl>throw>do,equ>flip,agt>thing,obj>thing)	Direct	v	1(2)	8520
flight(icl>air_travel>thing)	Direct	n	3(2)	20206
flight(icl>formation>thing)	Direct	n	2(2)	28436
flightless(icl>adj)	Direct	a	2(2)	12102
flightless_bird(icl>bird>thing,equ>ratite,ant>carinate)	Direct	n	1(2)	1529
fling(icl>attempt>thing,equ>crack)	Direct	n	1(2)	27446
fling(icl>get_rid_of>do,equ>discard,agt>thing,obj>thing)	Direct	v	1(4)	7052
flinty(icl>adj)	Direct	a	3(2),2(4)	19760
flip(icl>throw>do,agt>thing,obj>thing)	Direct	v	1(2)	8520
flip(icl>throw>thing)	Direct	n	1(2)	34810
flip(icl>tumble>thing,equ>somersault)	Direct	n	2(2)	11675
flirt(icl>act>do,equ>dally,agt>thing)	Direct	v	2(2)	27732
flirt(icl>talk>do,equ>chat_up,agt>volitional_thing,cag>person)	Direct	v	3(2)	7131
flirtation(icl>play>thing,equ>flirt)	Direct	n	2(2)	15102
flit(icl>travel_rapidly>do,plt>thing,plf>thing,agt>thing)	Direct	v	1(2),1(2)	5071
float(icl>be_afloat>be,com>water,aoj>concrete_thing,plc>thing)	Direct	v	1(5)	8309
float(icl>display>thing)	Direct	n	1(2)	27167
float(icl>set_afloat>do,plt>thing,agt>person,obj>thing)	Direct	v	1(4)	11563
floater(icl>symptom>thing,equ>musca_volitans)	Direct	n	1(2)	27162
floating(icl>adj)	Direct	a	3(2)	28200
flock(icl>animal_group>thing)	Direct	n	1(2)	13366
flock(icl>large_indefinite_quantity>thing,equ>batch)	Direct	n	1(4)	2206
flood(icl>geological_phenomenon>thing)	Direct	n	3(4)	3869
flood(icl>occur,com>river,obj>thing)	Direct	v	2(4)	13569
floodplain(icl>plain>thing)	Direct	n	2(2),2(2),1(2),1(2)	16962
floor(icl>horizontal_surface>thing)	Direct	n	2(5)	3678
floor(icl>structure>thing)	Direct	n	3(2)	11064
floor(icl>surprise>do,equ>shock,agt>thing,obj>thing)	Direct	v	2(2)	11474
flooring(icl>horizontal_surface>thing,equ>floor)	Direct	n	2(4)	3678
flora(icl>collection>thing,equ>vegetation,ant>fauna)	Direct	n	1(4)	28118
flora(icl>organism>thing,equ>plant)	Direct	n	1(6)	1249
flora(icl>organism>thing,equ>plant)	Hypernymy	n	2(2),1(2)	1718
floral(icl>adj)	Direct	a	1(4)	20976
florescence(icl>growth>thing,equ>blossoming)	Direct	n	2(2)	6449
floriculture(icl>gardening>thing,equ>flower_gardening)	Direct	n	2(4)	38374
florida_bean(icl>mucuna>thing,equ>cowage)	Direct	n	3(2)	12986
florin(icl>surinamese_monetary_unit>thing,equ>guilder)	Direct	n	2(2)	19585
florist's_willow(icl>sallow>thing,equ>goat_willow)	Direct	n	1(2)	17064
flour(icl>foodstuff>thing)	Hypernymy	n	1(2)	10862
flour(icl>foodstuff>thing)	Hypernymy	n	1(2)	14740
flour(icl>foodstuff>thing)	Hypernymy	n	1(2)	14972
flour(icl>foodstuff>thing)	Hypernymy	n	1(2)	16515
flour(icl>foodstuff>thing)	Hypernymy	n	1(2)	20494
flour(icl>foodstuff>thing)	Hypernymy	n	1(2),2(2)	20905
flour(icl>foodstuff>thing)	Hypernymy	n	1(2)	28989
flour(icl>foodstuff>thing)	Hypernymy	n	1(2)	33483
flour(icl>foodstuff>thing)	Direct	n	1(5),3(4)	3358
flour(icl>foodstuff>thing)	Hypernymy	n	2(2),3(2),1(2)	439
flour(icl>foodstuff>thing)	Hypernymy	n	1(2)	6378
flour(icl>foodstuff>thing)	Hypernymy	n	1(2),3(2),2(2)	9384
flour_mill(icl>mill>thing)	Direct	n	2(2)	12326
flourish(icl>move>do,equ>brandish,agt>thing,obj>thing)	Direct	v	1(4)	12747
flow(icl>cause>do,plt>thing,plf>thing,agt>person,obj>thing)	Direct	v	5(3)	8957
flow(icl>course>thing,equ>stream)	Direct	n	2(6),1(7)	27672
